,Unnamed: 0,id,title,content,date,push,boo,idx
100,200,M.1502372510.A.DA7,[問卦] 為什麼電腦散熱不用冷氣,這樣喇 因為吼 我最近有看到電腦散熱的討論這樣 但是吼 我想到為什麼不在電腦機殼裡裝冷氣 這樣解決散熱的問題了啊 有沒有掛 ,Thu Aug 10 21:41:47 2017,4,4,200
101,201,M.1502372497.A.9D4,[問卦] 這棟建築物是什麼,如題 在政府法院西門町這 晚上看怪陰森的 有沒有這棟建築物的八卦 ,Thu Aug 10 21:41:34 2017,1,0,201
102,202,M.1502372448.A.5DA,[問卦] 美紀怎麼嚇成這樣?, 美紀被嚇到了 整個壞掉 美紀她...到底是看到什麼 怎麼嚇成這樣0A0...... ,Thu Aug 10 21:40:45 2017,2,1,202
103,203,M.1502372426.A.80F,[問卦] 大葉文組跟台大理組誰強?,台灣第一學府 葉亞佛台之首大葉 和台科大隔壁的台大相比 是大葉文組強 還是台大理組強 有沒有相關八卦？ Sent from JPTT on my HTC_A9u. ,Thu Aug 10 21:40:19 2017,8,0,203
104,204,M.1502372373.A.CF6,[問卦] 南部鄉民是不是很爽！！！！,棉花糖寶寶前幾天去南部玩 今天剛回來 在火車站前面的五十嵐買綠茶 居然只要25塊  足足比台北便宜五塊折價近八折 南部鄉民是不是很爽？？？？也太幸福了ㄅ 有八卦ㄇㄇㄇㄇ？？？？ 沒被檢舉感覺就像是沒被肯定一樣 Ommmmmm5566 JAN.12th.2016,Thu Aug 10 21:39:28 2017,5,3,204
105,205,M.1502372665.A.D43,[問卦] ☺☺☺☺我好想好想飛 ☺☺☺☺,逃離這個 瘋狂世界 如果是你 發現了我 也別將我挽回 好嗎 ,Thu Aug 10 21:44:22 2017,2,4,205
106,206,M.1502372578.A.75E,[問卦] 有沒有推幣機的八卦？,推幣機（coin pusher） 是賭場常見的一種遊戲機 通常長這樣：（取自網路）  在推幣機的最前排通常會堆積一些看起來一碰就要掉下來的硬幣 但玩的時候一定不會這麼順利 常常要投入更多才能把你想推的那一坨推下來 等你把那坨推下來以後 就會發現旁邊又有一坨搖搖欲墜的硬幣 玩到最後就是一枚硬幣也不剩 有沒有推幣機很坑錢的八卦？ 不怕被抓到剁手指嗎？ 有什麼技巧嗎？,Thu Aug 10 21:42:55 2017,7,0,206
107,207,M.1502372575.A.A13,[問卦] 今晚 乘著風的太陽,與星星和月亮共舞 森巴舞 吉魯巴舞 探戈 一起在同一個天空下起舞 有沒有八卦？ 你的眉毛是一隻驕傲的鳥      黑劈ㄅ死ㄉㄟ,Thu Aug 10 21:42:52 2017,0,0,207
108,208,M.1502372088.A.285,[問卦] 交空姐女友有多爽??,大家好 身為男人的夢想 有個正妹空姐女友 制服加成50%整體妝容在加成50分% 光想到就延壽20年 身為男性最夢寐以求的女友職業 有勝利組可以分享經驗嗎 ,Thu Aug 10 21:34:45 2017,19,3,208
109,209,M.1502372080.A.CBC,[問卦] 有沒有神人能預估明年律師考試的情況,小弟明年第一次上國考戰場 好緊張 聽說獨門暗器可能會重現江湖是真的假的 有沒有更多內幕有神人指點一下 ,Thu Aug 10 21:34:37 2017,2,0,209
110,210,M.1502372077.A.3DE,[問卦] 如果基本工資突破22K會怎樣?,目前基本工資是21009元 這個月好像要開會 調高基本工資 加個991元以上就有22K 甚至23K 這樣不用讀大學就有22K UP了 那還去讀大學幹嘛? 調超過22K會發生什麼事? ,Thu Aug 10 21:34:33 2017,7,1,210
111,211,M.1502372044.A.5C1,[問卦] 政府為甚麼不讓嫖合法產業化?,如題，正常的男人都知道這個產業的需求有多大，結果這地下經濟都讓黑道賺走了 為甚麼政府不開合法的嫖的產業，想賺皮肉錢的有保障，想要鬆一下的也可以有合法的 管道，政府可以收稅。 三贏的局面為什麼政府不作呢? 有八卦嗎? 有時候有些事比贏球更讓你感動 (Sometimes this game is more than just the final score.) ,Thu Aug 10 21:34:01 2017,14,0,211
112,212,M.1502371974.A.342,[問卦] 用過R20還算處男嗎?,如題 假如今天有一個處男 買了R20來尻尻 這樣還算處男嗎? 承上題 如果今天一個處女 買了按摩棒來自慰 還算是處女嗎? 有沒有八卦 ,Thu Aug 10 21:32:52 2017,1,6,212
113,213,M.1502371934.A.5C8,[問卦] 天秤女是奉子成婚的常客嗎？,如題 優格姊姊天秤座(1989.10.10) 賈靜雯天秤座(二次奉子成婚紀錄)(1974.10.07) 簡嫚書天秤座(1988.10.16) 還有這一位小姐也是天秤座(1983.10.10)  有沒有天秤女是奉子成婚常客的八卦呢？ ,Thu Aug 10 21:32:11 2017,2,2,213
114,214,M.1502372187.A.969,[問卦] 用愛發電比核能發電還強嗎??,用愛發電比核能發電還強嗎 要用什麼樣的愛 才能比核能發電還強 有這方面的八卦嗎?? ,Thu Aug 10 21:36:24 2017,3,0,214
115,215,M.1502372186.A.9A8,[問卦] 怎麼樣才可以減少卡路里消耗?,大家日安 最近由於開始忙事情，發現自己吃完早餐或中餐後 開始忙才間隔不到3個小時就餓了 但又不想因此在一直買吃的，會花太多錢 網路上都在教人家怎麼消耗脂肪 卻沒教人怎麼節省... 有沒有什麼可以減少卡路里流失的好方法? 有掛嗎? 依照這樣的速率 一天伙食費會破好幾百啊 QQ 很容易就頭暈想睡，在做事效率上發現不好,Thu Aug 10 21:36:23 2017,3,1,215
